name;class;int;asym;n;m;t;tr;f1;pn;pm;pt;ptr;pf1;ptime;rootlb;rootub;rootgap;roots;proots;oroots;avgn;avgm;avgt;avgtr;avgf1;roottime;bbnodes;lb;ub;gap;d1;d2;ma;ms;ss;lc;nr;boundbased;heurtime;heurbbtime;timeBest;time;memout;p_supportg;p_heurbb;p_heureps;p_heurroots;p_heurbbtimelim;p_perturbheur;p_strongbounds;p_nodeselect;p_branchtype;p_guide;p_d1;p_d2;p_ma;p_ms;p_ss;p_lc;p_nr;p_boundbased
drosophila001pc-r0-d0.25-a0.10;actmodpc;0;1;5226;116742;5225;87;0;5226;116742;5225;87;0;3.438;8275.867957;8275.996159;0.001549;5226;1;1;35.000;47.000;6.000;6.000;14.000;0.010;2;8275.996159;8275.996159;0.000000;154;819;0;51;20;10;61583;121868;3.988;0.029;7.557;7.680;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
drosophila001pc-r0-d0.25-a0.25;actmodpc;0;1;5226;116742;5225;133;0;5226;116742;5225;133;0;3.522;8261.957608;8262.561100;0.007304;5226;5;2;91.000;167.500;31.000;26.500;21.000;0.038;11;8262.117629;8262.117629;0.000000;269;1383;5;71;46;188;65252;121391;5.570;0.009;9.375;9.377;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
drosophila001pc-r0-d0.25-a0.50;actmodpc;0;1;5226;116742;5225;290;0;5226;87311;5225;290;0;4.110;8144.053687;8146.686075;0.032312;5226;2;1;1463.000;10155.000;214.000;200.000;20.000;2.518;692;8144.609174;8144.609174;0.000000;7681;7832;83;1823;354;74073;55044;98140;11.551;1.510;26.390;26.400;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
drosophila001pc-r0-d0.50-a0.10;actmodpc;0;1;5226;140091;5225;87;0;5226;140091;5225;87;0;4.329;8268.822893;8271.039707;0.026802;5226;16;3;77.000;208.333;19.000;17.333;14.000;0.501;7;8269.607283;8269.607283;0.000000;722;3430;2;113;39;5538;109122;145705;7.268;0.012;12.379;12.380;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
drosophila001pc-r0-d0.50-a0.25;actmodpc;0;1;5226;140091;5225;136;0;5226;140091;5225;136;0;4.329;8253.293201;8254.393880;0.013334;5226;19;2;231.000;807.000;58.500;52.500;18.500;4.786;138;8253.349190;8253.349190;0.000000;3057;6791;43;272;129;50386;86704;146502;12.198;0.040;22.468;22.545;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
drosophila001pc-r0-d0.50-a0.50;actmodpc;0;1;5226;140091;5225;305;0;5226;101225;5225;305;0;5.391;8113.306574;8114.893203;0.019552;5226;1;1;864.000;3513.000;178.000;160.000;47.000;0.955;142;8114.137460;8114.137460;0.000000;3482;4685;64;718;218;63898;53995;94867;12.738;0.217;21.843;21.858;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
drosophila001pc-r0-d0.75-a0.10;actmodpc;0;1;5226;163439;5225;91;0;5226;163439;5225;91;0;5.236;8268.537080;8269.449164;0.011030;5226;1;1;84.000;215.000;26.000;25.000;15.000;0.065;6;8268.537080;8268.537080;0.000000;321;1274;6;70;29;936;60207;163302;9.055;0.036;14.672;14.673;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
drosophila001pc-r0-d0.75-a0.25;actmodpc;0;1;5226;163439;5225;139;0;5226;163439;5225;139;0;5.400;8251.024904;8251.059165;0.000415;5226;25;1;73.000;101.000;11.000;8.000;40.000;1.346;2;8251.059165;8251.059165;0.000000;697;2257;12;61;44;7774;65925;156508;15.853;0.018;21.013;22.882;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
drosophila001pc-r0-d0.75-a0.50;actmodpc;0;1;5226;163439;5225;316;0;5226;114663;5225;316;0;6.601;8106.321713;8109.084113;0.034065;5226;11;3;903.667;6107.333;149.667;134.667;74.667;8.739;320;8107.405578;8107.405578;0.000000;9237;9602;208;1750;331;260125;57075;160658;16.381;1.242;39.793;39.842;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
drosophila001pc-r0-d1.00-a0.10;actmodpc;0;1;5226;186788;5225;92;0;5226;186788;5225;92;0;6.206;8267.255232;8267.255232;0.000000;5226;6;0;0.000;0.000;0.000;0.000;0.000;0.011;0;8267.255232;8267.255232;0.000000;220;621;5;36;13;15;56437;191519;5.311;0.029;11.759;11.867;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
