name;n;m;lb;ub;bbnodes;valid;time
drosophila001pc-r0-d0.25-a0.10;5226;116742;8275.996159;8275.996159;0;1;169.444
drosophila001pc-r0-d0.25-a0.25;5226;116742;8262.117629;8262.117629;0;1;187.918
drosophila001pc-r0-d0.25-a0.50;5226;116742;8144.609174;8144.609174;40;1;311.172
drosophila001pc-r0-d0.50-a0.10;5226;140091;8269.607283;8269.607283;0;1;120.929
drosophila001pc-r0-d0.50-a0.25;5226;140091;8253.349190;8253.349190;0;1;234.880
drosophila001pc-r0-d0.50-a0.50;5226;140091;8114.137460;8114.137460;3;1;518.499
drosophila001pc-r0-d0.75-a0.10;5226;163439;8268.537080;8268.537080;0;1;232.542
drosophila001pc-r0-d0.75-a0.25;5226;163439;8251.059165;8251.059165;0;1;336.679
drosophila001pc-r0-d0.75-a0.50;5226;163439;8107.405578;8107.405578;0;1;312.474
drosophila001pc-r0-d1.00-a0.10;5226;186788;8267.255232;8267.255232;0;1;438.669
drosophila001pc-r0-d1.00-a0.25;5226;186788;8245.789190;8245.789190;0;1;388.064
drosophila001pc-r0-d1.00-a0.50;5226;186788;8087.299168;8087.299168;0;1;544.047
drosophila001pc-r1-d0.25-a0.10;5226;116742;8279.702891;8279.702891;24;1;82.923
drosophila001pc-r1-d0.25-a0.25;5226;116742;8266.002884;8266.002884;0;1;83.298
drosophila001pc-r1-d0.25-a0.50;5226;116742;8150.679727;8150.679727;0;1;132.133
drosophila001pc-r1-d0.50-a0.10;5226;140091;8279.821304;8279.821304;0;1;180.328
drosophila001pc-r1-d0.50-a0.25;5226;140091;8261.726986;8261.726986;0;1;137.902
drosophila001pc-r1-d0.50-a0.50;5226;140091;8123.203968;8123.203968;44;1;243.310
drosophila001pc-r1-d0.75-a0.10;5226;163439;8279.795077;8279.795077;0;1;221.513
drosophila001pc-r1-d0.75-a0.25;5226;163439;8260.403291;8260.403291;0;1;286.328
drosophila001pc-r1-d0.75-a0.50;5226;163439;8114.214984;8114.214984;0;1;316.170
drosophila001pc-r1-d1.00-a0.10;5226;186788;8276.008402;8276.008402;3;1;353.401
drosophila001pc-r1-d1.00-a0.25;5226;186788;8252.462090;8252.462090;0;1;284.756
drosophila001pc-r1-d1.00-a0.50;5226;186788;8095.675039;8095.675039;0;1;310.126
drosophila005pc-r0-d0.25-a0.10;5226;116742;8133.827428;8133.827428;3;1;630.849
drosophila005pc-r0-d0.25-a0.25;5226;116742;8077.039313;8077.039313;3;1;540.167
drosophila005pc-r0-d0.25-a0.50;5226;116742;7819.764429;7819.764429;0;1;350.946
drosophila005pc-r0-d0.50-a0.10;5226;140091;8115.382683;8115.382683;8;1;548.141
drosophila005pc-r0-d0.50-a0.25;5226;140091;8051.892657;8051.892657;20;1;930.939
drosophila005pc-r0-d0.50-a0.50;5226;140091;7770.485982;7770.485982;3;1;463.861
drosophila005pc-r0-d0.75-a0.10;5226;163439;8108.317185;8108.317185;12;1;548.990
drosophila005pc-r0-d0.75-a0.25;5226;163439;8040.172183;8040.172183;0;1;414.771
drosophila005pc-r0-d0.75-a0.50;5226;163439;7737.931300;7737.931300;12;1;1045.189
drosophila005pc-r0-d1.00-a0.10;5226;186788;8097.212953;8097.212953;11;1;1414.215
drosophila005pc-r0-d1.00-a0.25;5226;186788;8023.354927;8023.354927;5;1;738.644
drosophila005pc-r0-d1.00-a0.50;5226;186788;7708.724751;7708.724751;6;1;765.467
drosophila005pc-r1-d0.25-a0.10;5226;116742;8136.553180;8136.553180;0;1;236.378
drosophila005pc-r1-d0.25-a0.25;5226;116742;8079.392423;8079.392423;25;1;145.044
drosophila005pc-r1-d0.25-a0.50;5226;116742;7824.607356;7824.607356;0;1;265.710
drosophila005pc-r1-d0.50-a0.10;5226;140091;8120.771942;8120.771942;5;1;193.864
drosophila005pc-r1-d0.50-a0.25;5226;140091;8057.062213;8057.062213;22;1;234.542
drosophila005pc-r1-d0.50-a0.50;5226;140091;7778.093572;7778.093572;0;1;259.217
drosophila005pc-r1-d0.75-a0.10;5226;163439;8114.438509;8114.438509;3;1;556.327
drosophila005pc-r1-d0.75-a0.25;5226;163439;8045.676968;8045.676968;0;1;568.903
drosophila005pc-r1-d0.75-a0.50;5226;163439;7742.525752;7742.525752;0;1;507.270
drosophila005pc-r1-d1.00-a0.10;5226;186788;8101.179220;8101.179220;7;1;350.239
drosophila005pc-r1-d1.00-a0.25;5226;186788;8029.174141;8029.174141;56;1;792.626
drosophila005pc-r1-d1.00-a0.50;5226;186788;7713.857500;7713.857500;8;1;728.658
drosophila0075pc-r0-d0.25-a0.10;5226;116742;8053.441546;8053.441546;69;1;272.249
drosophila0075pc-r0-d0.25-a0.25;5226;116742;7983.667705;7983.667705;2;1;827.063
drosophila0075pc-r0-d0.25-a0.50;5226;116742;7675.710339;7675.710339;3;1;570.138
drosophila0075pc-r0-d0.50-a0.10;5226;140091;8032.279158;8032.279158;0;1;499.433
drosophila0075pc-r0-d0.50-a0.25;5226;140091;7949.539763;7949.539763;3;1;555.730
drosophila0075pc-r0-d0.50-a0.50;5226;140091;7622.248317;7622.248317;9;1;573.696
drosophila0075pc-r0-d0.75-a0.10;5226;163439;8023.404615;8023.404615;0;1;669.434
drosophila0075pc-r0-d0.75-a0.25;5226;163439;7934.662894;7934.662894;0;1;557.524
