name;class;int;asym;n;m;t;tr;f1;pn;pm;pt;ptr;pf1;ptime;rootlb;rootub;rootgap;roots;proots;oroots;avgn;avgm;avgt;avgtr;avgf1;roottime;bbnodes;lb;ub;gap;d1;d2;ma;ms;ss;lc;nr;boundbased;heurtime;heurbbtime;timeBest;time;memout;p_supportg;p_heurbb;p_heureps;p_heurroots;p_heurbbtimelim;p_perturbheur;p_strongbounds;p_nodeselect;p_branchtype;p_guide;p_d1;p_d2;p_ma;p_ms;p_ss;p_lc;p_nr;p_boundbased
a0200RandGraph.1.2;random;0;0;200;3272;200;33;0;182;2624;15;15;0;0.002;122.214525;122.214525;0.000000;15;12;0;0.000;0.000;0.000;0.000;0.000;0.000;0;122.214525;122.214525;0.000000;17;44;31;25;6;408;1568;0;0.013;0.000;0.008;0.022;0;1;1;0.001000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
a0200RandGraph.1.5;random;0;0;200;3150;200;76;0;133;1382;9;9;0;0.001;141.877157;141.877157;0.000000;9;1;0;0.000;0.000;0.000;0.000;0.000;0.000;0;141.877157;141.877157;0.000000;35;67;74;22;9;248;1055;0;0.007;0.000;0.008;0.015;0;1;1;0.001000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
a0200RandGraph.2;random;0;0;200;3210;200;116;0;90;547;6;6;0;0.001;157.017004;157.017004;0.000000;6;1;0;0.000;0.000;0.000;0.000;0.000;0.000;0;157.017004;157.017004;0.000000;15;34;110;13;5;247;520;0;0.003;0.001;0.007;0.011;0;1;1;0.001000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
a0200RandGraph.3;random;0;0;200;3232;200;142;0;63;234;5;5;0;0.001;170.286354;170.286354;0.000000;5;1;0;0.000;0.000;0.000;0.000;0.000;0.000;0;170.286354;170.286354;0.000000;12;9;140;15;5;164;313;0;0.002;0.001;0.027;0.030;0;1;1;0.001000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
a0400RandGraph.1.2;random;0;0;400;6388;400;63;0;382;5810;45;45;0;0.004;234.981814;234.981814;0.000000;45;42;0;0.000;0.000;0.000;0.000;0.000;0.003;0;234.981814;234.981814;0.000000;66;109;34;93;25;520;3089;0;0.032;0.000;0.033;0.067;0;1;1;0.001000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
a0400RandGraph.1.5;random;0;0;400;6462;400;146;0;287;3444;33;33;0;0.004;272.874950;272.874950;0.000000;33;8;0;0.000;0.000;0.000;0.000;0.000;0.001;0;272.874950;272.874950;0.000000;116;130;172;62;2;587;2168;0;0.024;0.001;0.031;0.057;0;1;1;0.001000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
a0400RandGraph.2;random;0;0;400;6584;400;190;0;232;2170;22;22;0;0.004;300.920525;300.920525;0.000000;22;1;0;0.000;0.000;0.000;0.000;0.000;0.000;0;300.920525;300.920525;0.000000;89;139;208;70;5;526;1749;0;0.016;0.001;0.013;0.031;0;1;1;0.001000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
a0400RandGraph.3;random;0;0;400;6444;400;266;0;145;844;11;11;0;0.003;337.596008;337.596008;0.000000;11;1;0;0.000;0.000;0.000;0.000;0.000;0.000;0;337.596008;337.596008;0.000000;39;129;256;36;6;268;1257;0;0.009;0.002;0.012;0.023;0;1;1;0.001000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
a0600RandGraph.1.2;random;0;0;600;9642;600;107;0;564;9093;71;71;0;0.006;360.393503;360.393503;0.000000;71;66;0;0.000;0.000;0.000;0.000;0.000;0.006;0;360.393503;360.393503;0.000000;116;129;43;177;10;394;4385;0;0.086;0.000;0.019;0.110;0;1;1;0.001000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
a0600RandGraph.1.5;random;0;0;600;9690;600;210;0;431;5413;41;41;0;0.009;407.632071;407.632071;0.000000;41;3;0;0.000;0.000;0.000;0.000;0.000;0.000;0;407.632071;407.632071;0.000000;92;145;193;107;13;871;3226;0;0.042;0.001;0.021;0.065;0;1;1;0.001000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
a0600RandGraph.2;random;0;0;600;9662;600;299;0;324;2839;23;23;0;0.007;460.016305;460.016305;0.000000;23;1;0;0.000;0.000;0.000;0.000;0.000;0.000;0;460.016305;460.016305;0.000000;95;189;311;63;5;727;2624;0;0.026;0.003;0.019;0.049;0;1;1;0.001000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
a0600RandGraph.3;random;0;0;600;9616;600;394;0;224;1285;18;18;0;0.007;507.937086;507.937086;0.000000;18;1;0;0.000;0.000;0.000;0.000;0.000;0.000;0;507.937086;507.937086;0.000000;108;141;388;74;7;598;1932;0;0.016;0.005;0.018;0.040;0;1;1;0.001000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
a0800RandGraph.1.2;random;0;0;800;12906;800;123;0;746;12060;69;69;0;0.009;464.750384;464.776231;0.005561;69;64;1;75.000;125.000;11.000;11.000;24.000;0.021;2;464.776231;464.776231;0.000000;264;191;66;187;28;969;5837;1008;0.100;0.003;0.146;0.170;0;1;1;0.001000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
a0800RandGraph.1.5;random;0;0;800;12602;800;265;0;581;7156;46;46;0;0.012;530.442058;530.442058;0.000000;46;3;0;0.000;0.000;0.000;0.000;0.000;0.000;0;530.442058;530.442058;0.000000;99;147;229;143;10;1031;4570;0;0.050;0.002;0.027;0.080;0;1;1;0.001000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
a0800RandGraph.2;random;0;0;800;12930;800;395;0;435;3808;30;30;0;0.013;603.326182;603.326182;0.000000;30;1;0;0.000;0.000;0.000;0.000;0.000;0.000;0;603.326182;603.326182;0.000000;157;252;410;70;7;877;3860;0;0.037;0.003;0.027;0.068;0;1;1;0.001000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
a0800RandGraph.3;random;0;0;800;12770;800;535;0;290;1555;25;25;0;0.012;663.607078;663.607078;0.000000;25;1;0;0.000;0.000;0.000;0.000;0.000;0.000;0;663.607078;663.607078;0.000000;124;142;561;176;7;665;2317;0;0.022;0.010;0.026;0.058;0;1;1;0.001000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
