name;class;int;asym;n;m;t;tr;f1;pn;pm;pt;ptr;pf1;ptime;rootlb;rootub;rootgap;roots;proots;oroots;avgn;avgm;avgt;avgtr;avgf1;roottime;bbnodes;lb;ub;gap;d1;d2;ma;ms;ss;lc;nr;boundbased;heurtime;heurbbtime;timeBest;time;memout;p_supportg;p_heurbb;p_heureps;p_heurroots;p_heurbbtimelim;p_perturbheur;p_strongbounds;p_nodeselect;p_branchtype;p_guide;p_d1;p_d2;p_ma;p_ms;p_ss;p_lc;p_nr;p_boundbased
a0200RandGraph.1.2;random;0;0;200;3272;200;33;0;182;2624;15;15;0;0.002;0.000000;122.214525;100.000000;0;0;-955200727;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;122.214525;100.000000;0;0;18;0;0;408;0;0;0.002;0.000;0.070;0.071;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a0200RandGraph.1.5;random;0;0;200;3150;200;76;0;133;1382;9;9;0;0.001;0.000000;141.877157;100.000000;0;0;-1416720732;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;141.877157;100.000000;0;0;67;0;0;244;0;0;0.001;0.000;0.054;0.055;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a0200RandGraph.2;random;0;0;200;3210;200;116;0;90;547;6;6;0;0.001;0.000000;157.017004;100.000000;0;0;1274608854;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;157.017004;100.000000;0;0;110;0;0;247;0;0;0.000;0.000;0.054;0.054;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a0200RandGraph.3;random;0;0;200;3232;200;142;0;63;234;5;5;0;0.001;0.000000;170.286354;100.000000;0;0;-807591291;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;170.286354;100.000000;0;0;137;0;0;164;0;0;0.000;0.000;0.076;0.076;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a0400RandGraph.1.2;random;0;0;400;6388;400;63;0;382;5810;45;45;0;0.004;0.000000;235.098691;100.000000;0;0;87136297;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;235.098691;100.000000;0;0;18;0;0;506;0;0;0.006;0.000;0.075;0.079;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a0400RandGraph.1.5;random;0;0;400;6462;400;146;0;287;3444;33;33;0;0.004;0.000000;272.874950;100.000000;0;0;-879609302;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;272.874950;100.000000;0;0;113;0;0;568;0;0;0.002;0.000;0.168;0.170;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a0400RandGraph.2;random;0;0;400;6584;400;190;0;232;2170;22;22;0;0.004;0.000000;300.947743;100.000000;0;0;2020352616;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;300.947743;100.000000;0;0;168;0;0;518;0;0;0.002;0.000;0.288;0.289;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a0400RandGraph.3;random;0;0;400;6444;400;266;0;145;844;11;11;0;0.003;0.000000;337.596008;100.000000;0;0;1068450424;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;337.596008;100.000000;0;0;255;0;0;268;0;0;0.001;0.000;0.043;0.044;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a0600RandGraph.1.2;random;0;0;600;9642;600;107;0;564;9093;71;71;0;0.006;0.000000;360.615623;100.000000;0;0;-909296116;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;360.615623;100.000000;0;0;36;0;0;391;0;0;0.009;0.000;0.138;0.145;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a0600RandGraph.1.5;random;0;0;600;9690;600;210;0;431;5413;41;41;0;0.009;0.000000;408.178546;100.000000;0;0;-159704064;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;408.178546;100.000000;0;0;169;0;0;861;0;0;0.004;0.000;0.059;0.062;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a0600RandGraph.2;random;0;0;600;9662;600;299;0;324;2839;23;23;0;0.007;0.000000;460.016305;100.000000;0;0;-922215378;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;460.016305;100.000000;0;0;276;0;0;709;0;0;0.002;0.000;0.018;0.019;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a0600RandGraph.3;random;0;0;600;9616;600;394;0;224;1285;18;18;0;0.007;0.000000;507.984023;100.000000;0;0;1306769570;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;507.984023;100.000000;0;0;376;0;0;595;0;0;0.002;0.000;0.046;0.047;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a0800RandGraph.1.2;random;0;0;800;12906;800;123;0;746;12060;69;69;0;0.009;0.000000;464.879547;100.000000;0;0;1899131459;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;464.879547;100.000000;0;0;54;0;0;588;0;0;0.012;0.000;0.023;0.033;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a0800RandGraph.1.5;random;0;0;800;12602;800;265;0;581;7156;46;46;0;0.012;0.000000;530.557425;100.000000;0;0;1437886331;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;530.557425;100.000000;0;0;219;0;0;1026;0;0;0.005;0.000;0.094;0.095;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a0800RandGraph.2;random;0;0;800;12930;800;395;0;435;3808;30;30;0;0.013;0.000000;603.326182;100.000000;0;0;89060442;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;603.326182;100.000000;0;0;365;0;0;876;0;0;0.003;0.000;0.025;0.028;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a0800RandGraph.3;random;0;0;800;12770;800;535;0;290;1555;25;25;0;0.012;0.000000;663.783974;100.000000;0;0;1270210808;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;663.783974;100.000000;0;0;510;0;0;663;0;0;0.002;0.000;0.061;0.062;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a10000RandGraph.1.2;random;0;0;10000;160596;10000;1668;0;9228;157688;896;896;0;0.141;0.000000;5930.702972;100.000000;0;0;284223756;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;5930.702972;100.000000;0;0;772;0;0;976;0;0;0.317;0.000;0.476;0.642;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a10000RandGraph.1.5;random;0;0;10000;160576;10000;3370;0;7302;97988;672;672;0;1.165;0.000000;6781.928503;100.000000;0;0;-954650971;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;6781.928503;100.000000;0;0;2698;0;0;7502;0;0;0.096;0.000;1.352;1.418;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a10000RandGraph.2;random;0;0;10000;159816;10000;5017;0;5335;47610;352;352;0;1.864;0.000000;7598.502395;100.000000;0;0;203959407;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;7598.502395;100.000000;0;0;4665;0;0;9410;0;0;0.050;0.000;2.000;2.042;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a10000RandGraph.3;random;0;0;10000;159556;10000;6679;0;3511;19664;190;190;0;2.288;0.000000;8423.650472;100.000000;0;0;-852671267;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;8423.650472;100.000000;0;0;6489;0;0;7134;0;0;0.032;0.000;2.490;2.514;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a1000RandGraph.1.2;random;0;0;1000;16134;1000;164;0;933;15285;97;97;0;0.011;0.000000;580.850980;100.000000;0;0;-97581657;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;580.850980;100.000000;0;0;67;0;0;571;0;0;0.016;0.000;0.102;0.106;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a1000RandGraph.1.5;random;0;0;1000;15736;1000;320;0;757;9922;77;77;0;0.016;0.000000;674.870772;100.000000;0;0;694066715;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;674.870772;100.000000;0;0;243;0;0;978;0;0;0.007;0.000;0.099;0.102;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a1000RandGraph.2;random;0;0;1000;16402;1000;490;0;550;5057;40;40;0;0.019;0.000000;753.530347;100.000000;0;0;-275702541;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;753.530347;100.000000;0;0;450;0;0;1035;0;0;0.004;0.000;0.125;0.126;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a1000RandGraph.3;random;0;0;1000;16214;1000;650;0;368;2222;18;18;0;0.021;0.000000;831.582177;100.000000;0;0;1282030558;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;831.582177;100.000000;0;0;632;0;0;720;0;0;0.003;0.000;0.100;0.101;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
