name;lb;ub;time
a0200RandGraph.1.2;122.215;122.215;0.159
a0200RandGraph.1.5;141.877;141.877;0.197
a0200RandGraph.2;157.017;157.017;0.202
a0200RandGraph.3;170.286;170.286;0.141
a0400RandGraph.1.2;234.982;234.982;0.321
a0400RandGraph.1.5;272.875;272.875;0.493
a0400RandGraph.2;300.921;300.921;0.471
a0400RandGraph.3;337.596;337.596;0.345
a0600RandGraph.1.2;360.394;360.394;0.720
a0600RandGraph.1.5;407.632;407.632;0.731
a0600RandGraph.2;460.016;460.016;0.866
a0600RandGraph.3;507.937;507.937;0.620
a0800RandGraph.1.2;464.776;464.776;2.734
a0800RandGraph.1.5;530.442;530.442;0.970
a0800RandGraph.2;603.326;603.326;1.050
a0800RandGraph.3;663.607;663.607;0.768
a10000RandGraph.1.2;5927.321;5927.321;88.287
a10000RandGraph.1.5;6775.550;6775.550;120.853
a10000RandGraph.2;7594.383;7594.383;17.712
a10000RandGraph.3;8422.561;8422.561;20.141
a1000RandGraph.1.2;580.349;580.349;2.334
a1000RandGraph.1.5;673.474;673.474;1.713
a1000RandGraph.2;753.290;753.290;1.161
a1000RandGraph.3;831.582;831.582;0.991
a12000RandGraph.1.2;7073.947;7073.947;254.931
a12000RandGraph.1.5;8084.128;8084.128;330.909
a12000RandGraph.2;9064.244;9064.244;62.166
a12000RandGraph.3;10061.820;10061.820;56.121
a1200RandGraph.1.2;705.673;705.673;3.110
a1200RandGraph.1.5;810.483;810.483;1.466
a1200RandGraph.2;906.793;906.793;1.391
a1200RandGraph.3;1012.450;1012.450;1.246
a14000RandGraph.1.2;8271.465;8271.465;424.218
a14000RandGraph.1.5;9475.594;9475.594;237.015
a14000RandGraph.2;10639.204;10639.204;28.097
a14000RandGraph.3;11776.894;11776.894;75.679
a1400RandGraph.1.2;810.634;810.634;2.953
a1400RandGraph.1.5;938.932;938.932;1.917
a1400RandGraph.2;1051.011;1051.011;1.692
a1400RandGraph.3;1158.955;1158.955;1.497
a1600RandGraph.1.2;943.736;943.736;3.635
a1600RandGraph.1.5;1078.797;1078.797;2.873
a1600RandGraph.2;1217.052;1217.052;2.290
a1600RandGraph.3;1351.984;1351.984;1.414
a1800RandGraph.1.2;1061.394;1061.394;4.839
a1800RandGraph.1.5;1218.778;1218.778;2.605
a1800RandGraph.2;1364.893;1364.893;2.144
a1800RandGraph.3;1507.266;1507.266;1.773
a2000RandGraph.1.2;1151.953;1151.953;4.480
a2000RandGraph.1.5;1330.774;1330.774;3.634
a2000RandGraph.2;1483.837;1483.837;2.845
a2000RandGraph.3;1669.346;1669.346;2.023
a3000RandGraph.1.2;1781.194;1781.194;15.499
a3000RandGraph.1.5;2028.620;2028.620;4.112
a3000RandGraph.2;2282.917;2282.917;4.257
a3000RandGraph.3;2537.203;2537.203;4.187
a4000RandGraph.1.2;2396.920;2396.920;16.558
a4000RandGraph.1.5;2735.179;2735.179;19.621
a4000RandGraph.2;3072.261;3072.261;6.061
a4000RandGraph.3;3406.619;3406.619;6.462
a6000RandGraph.1.2;3544.386;3544.386;80.727
a6000RandGraph.1.5;4059.187;4059.187;52.106
a6000RandGraph.2;4551.767;4551.767;10.877
a6000RandGraph.3;5049.263;5049.263;8.056
a8000RandGraph.1.2;4719.965;4719.965;208.938
a8000RandGraph.1.5;5394.568;5394.568;125.782
a8000RandGraph.2;6055.126;6055.126;14.321
a8000RandGraph.3;6710.615;6710.615;13.749
C01-A;18.000;18.000;0.109
C01-B;85.000;85.000;0.097
C02-A;50.000;50.000;0.090
C02-B;141.000;141.000;0.117
C03-A;414.000;414.000;0.103
C03-B;737.000;737.000;0.650
C04-A;618.000;618.000;0.191
C04-B;1063.000;1063.000;0.735
C05-A;1080.000;1080.000;0.262
C05-B;1528.000;1528.000;0.543
C06-A;18.000;18.000;0.114
C06-B;55.000;55.000;0.182
C07-A;50.000;50.000;0.114
C07-B;102.000;102.000;0.126
C08-A;361.000;361.000;0.339
C08-B;500.000;500.000;0.297
C09-A;533.000;533.000;0.675
C09-B;694.000;694.000;1.306
C10-A;859.000;859.000;0.393
C10-B;1069.000;1069.000;1.117
C11-A;18.000;18.000;0.213
C11-B;32.000;32.000;0.338
C12-A;38.000;38.000;0.318
C12-B;46.000;46.000;0.304
